Categoría,GananciaPeso
Macho_Castrado,0.74
Macho_Castrado,0.73
Macho_Castrado,0.74
Macho_Castrado,0.74
Macho_Castrado,0.74
Macho_Castrado,0.76
Macho_Castrado,0.73
Macho_Castrado,0.75
Macho_Castrado,0.73
Macho_Castrado,0.73
Macho_Castrado,0.74
Macho_Castrado,0.75
Macho_Castrado,0.74
Macho_Castrado,0.76
Macho_Castrado,0.75
Macho_Castrado,0.73
Macho_Castrado,0.73
Macho_Castrado,0.75
Macho_Castrado,0.74
Macho_Castrado,0.74
Macho_Castrado,0.72
Macho_Castrado,0.73
Macho_Castrado,0.77
Macho_Castrado,0.76
Macho_Castrado,0.72
Macho_Castrado,0.73
Macho_Castrado,0.76
Macho_Castrado,0.76
Macho_Castrado,0.74
Macho_Castrado,0.75
Macho_Castrado,0.74
Macho_Castrado,0.74
Macho_Castrado,0.75
Macho_Castrado,0.76
Macho_Castrado,0.71
Macho_Castrado,0.77
Macho_Castrado,0.74
Macho_Castrado,0.75
Macho_Castrado,0.72
Macho_Castrado,0.74
