Categoría,GananciaPeso
Hembra,0.7244
Hembra,0.7081
Hembra,0.7205
Hembra,0.6989
Hembra,0.7077
Hembra,0.7137
Hembra,0.6977
Hembra,0.7154
Hembra,0.7198
Hembra,0.7058
Hembra,0.7000
Hembra,0.6976
Hembra,0.7073
Hembra,0.6958
Hembra,0.7113
Hembra,0.6928
Hembra,0.7040
Hembra,0.7200
Hembra,0.7066
Hembra,0.7102
Hembra,0.7056
Hembra,0.7081
Hembra,0.7214
Hembra,0.6952
Hembra,0.7173
Hembra,0.6981
Hembra,0.7123
Hembra,0.7174
Hembra,0.7078
Hembra,0.7203
Hembra,0.7157
Hembra,0.7187
Hembra,0.7074
Hembra,0.7005
Hembra,0.7012
Hembra,0.7116
Hembra,0.7125
Hembra,0.7216
Hembra,0.7059
Hembra,0.7077
