Tipo_Pintura,Horas,Humedad
A,4.26,46.12
A,2.57,23.2
A,3.9,30.4
A,4.91,48.6
A,4.46,27.5
A,3.48,28.6
A,3.39,28
A,2.8,25.7
A,4.16,42.6
A,5.51,50.87
A,3.95,29.34
A,4.41,27.23
A,4.9,47.6
A,1.8,18.5
A,4.22,46.36
A,3.43,31.3
A,4.75,47.75
A,4.32,48.9
A,5.18,53.13
A,2.75,24.65
A,5.38,49.8
A,5.01,48.01
A,3.81,28.9
A,2.68,25.6
A,3.06,26.7
A,2.38,24.87
A,5.21,48.67
A,5.16,48
A,4.71,47.9
A,4.08,45.68
A,3.76,28.6
A,3.89,29
A,5.72,54.9
A,3.45,27.5
A,5.04,50
A,5.63,51.45
A,4.17,47.08
A,3.71,28.76
A,4.61,49.7
A,4.56,49.5
