Tipo_Pintura,Horas,Humedad
A,4.26,46.12
A,2.57,23.2
A,3.9,30.4
A,4.91,48.6
A,4.46,27.5
A,3.48,28.6
A,3.39,28
A,2.8,25.7
A,4.16,42.6
A,5.51,50.87
A,3.95,29.34
A,4.41,27.23
A,4.9,47.6
A,1.8,18.5
A,4.22,46.36
A,3.43,31.3
A,4.75,47.75
A,4.32,48.9
A,5.18,53.13
A,2.75,24.65
A,5.38,49.8
A,5.01,48.01
A,3.81,28.9
A,2.68,25.6
A,3.06,26.7
A,2.38,24.87
A,5.21,48.67
A,5.16,48
A,4.71,47.9
A,4.08,45.68
A,3.76,28.6
A,3.89,29
A,5.72,54.9
A,3.45,27.5
A,5.04,50
A,5.63,51.45
A,4.17,47.08
A,3.71,28.76
A,4.61,49.7
A,4.56,49.5
B,6.12,46.12
B,5.92,23.2
B,5.51,30.4
B,4.59,48.6
B,6.49,27.5
B,7.28,28.6
B,6.42,28
B,5.43,25.7
B,5.07,42.6
B,6.06,50.87
B,6,29.34
B,5.83,27.23
B,3.66,47.6
B,5.05,18.5
B,6.02,46.36
B,6.19,31.3
B,4.82,47.75
B,6.08,48.9
B,7.36,53.13
B,6.71,24.65
B,6.35,49.8
B,6.04,48.01
B,5.18,28.9
B,6.98,25.6
B,8.82,26.7
B,4.69,24.87
B,5.64,48.67
B,4.97,48
B,4.58,47.9
B,6.09,45.68
B,6.23,28.6
B,5.89,29
B,8.6,54.9
B,5.85,27.5
B,6,50
B,6.29,51.45
B,6.74,47.08
B,6.37,28.76
B,5.92,49.7
B,5.01,49.5
